layer                                  mean_w_scale    in_scale   out_scale        mult   shift
-----------------------------------------------------------------------------------------------
first_conv                               0.00023441    0.370448    0.036063  2647530739       8
ds_blocks.0.depthwise                    0.01749262    0.036063    0.063979  2710358371       6
ds_blocks.0.pointwise                    0.00946011    0.063979    0.054588  3047722989       6
ds_blocks.1.depthwise                    0.01641782    0.054588    0.057772  4264149155       6
ds_blocks.1.pointwise                    0.00984889    0.057772    0.039422  3967437175       6
ds_blocks.2.depthwise                    0.01396512    0.039422    0.061105  2476523882       6
ds_blocks.2.pointwise                    0.00772979    0.061105    0.057338  2264343127       6
ds_blocks.3.depthwise                    0.01492755    0.057338    0.104774  2245520988       6
ds_blocks.3.pointwise                    0.05201135    0.104774    0.443644  3376426452       6
classifier                               0.01920011    0.443644    2.690305  3481265859       8
