layer                                  mean_w_scale    in_scale   out_scale        mult   shift
-----------------------------------------------------------------------------------------------
first_conv                               0.00022569    0.361867    0.025753  3486899059       8
ds_blocks.0.depthwise                    0.03485580    0.025753    0.064646  3816831570       6
ds_blocks.0.pointwise                    0.01183671    0.064646    0.040805  2577328151       5
ds_blocks.1.depthwise                    0.01738893    0.040805    0.051839  3762438098       6
ds_blocks.1.pointwise                    0.00822326    0.051839    0.044884  2610659326       6
ds_blocks.2.depthwise                    0.01557705    0.044884    0.048539  3959309542       6
ds_blocks.2.pointwise                    0.00682253    0.048539    0.050663  3593548188       7
ds_blocks.3.depthwise                    0.01479802    0.050663    0.076197  2704518639       6
ds_blocks.3.pointwise                    0.04294666    0.076197    0.296048  3038420781       6
classifier                               0.01248086    0.296048    1.258684  3227668812       8
