layer                                  mean_w_scale    in_scale   out_scale        mult   shift
-----------------------------------------------------------------------------------------------
first_conv                               0.00022203    0.363063    0.032778  2704013918       8
ds_blocks.0.depthwise                    0.02303859    0.032778    0.073877  2809729884       6
ds_blocks.0.pointwise                    0.00986029    0.073877    0.057446  3485618043       6
ds_blocks.1.depthwise                    0.01402170    0.057446    0.074416  2975324581       6
ds_blocks.1.pointwise                    0.00731315    0.074416    0.043532  3436365031       6
ds_blocks.2.depthwise                    0.01344675    0.043532    0.038396  4190663858       6
ds_blocks.2.pointwise                    0.01192982    0.038396    0.037621  3346786661       6
ds_blocks.3.depthwise                    0.02366051    0.037621    0.115367  4241711339       7
ds_blocks.3.pointwise                    0.04865674    0.115367    0.528959  2917048279       6
classifier                               0.02318418    0.528959    2.794834  2412278321       7
