layer                                  mean_w_scale    in_scale   out_scale        mult   shift
-----------------------------------------------------------------------------------------------
first_conv                               0.00024491    0.361256    0.017796  2733134593       7
ds_blocks.0.depthwise                    0.02346223    0.017796    0.045721  2510222779       6
ds_blocks.0.pointwise                    0.00933864    0.045721    0.047082  2492796548       6
ds_blocks.1.depthwise                    0.01534578    0.047082    0.041661  2383550851       5
ds_blocks.1.pointwise                    0.00684734    0.041661    0.031314  2504084395       6
ds_blocks.2.depthwise                    0.00989222    0.031314    0.046638  3651484585       7
ds_blocks.2.pointwise                    0.01020201    0.046638    0.040128  3259260388       6
ds_blocks.3.depthwise                    0.01115533    0.040128    0.061890  3976256456       7
ds_blocks.3.pointwise                    0.08871027    0.061890    0.426438  3538998884       6
classifier                               0.01918418    0.426438    1.523454  2952158937       7
