layer                                  mean_w_scale    in_scale   out_scale        mult   shift
-----------------------------------------------------------------------------------------------
first_conv                               0.00023722    0.363727    0.033843  2803163653       8
ds_blocks.0.depthwise                    0.01583582    0.033843    0.070954  4152468017       7
ds_blocks.0.pointwise                    0.00743761    0.070954    0.048175  3011105491       6
ds_blocks.1.depthwise                    0.02056251    0.048175    0.052688  2584046256       5
ds_blocks.1.pointwise                    0.00819430    0.052688    0.039206  3027003668       6
ds_blocks.2.depthwise                    0.01197616    0.039206    0.071787  3595744295       7
ds_blocks.2.pointwise                    0.01289623    0.071787    0.077655  3277021348       6
ds_blocks.3.depthwise                    0.03236856    0.077655    0.164786  4192905144       6
ds_blocks.3.pointwise                    0.04614843    0.164786    0.616177  3392427969       6
classifier                               0.02145064    0.616177    3.187354  2279740357       7
